indicator,colony_prefix,pipeline,emma,production_centre,microinjection_date,marker_symbol,es_cell_clone,confirm_locus_targeted,confirm_structure_targeted_allele,confirm_downstream_lox_p_site,confirm_no_additional_vector_insertions,es_dist_qc,es_user_qc,mouse_qc
inprocess,UCD-10084B-D12-1,KOMP-Regeneron,1,UCD,2008-02-18,Sema3g,10084B-D12,,,,,,,
inprocess,UCD-10085B-A7-1,KOMP-Regeneron,1,UCD,2008-08-05,Lrrc14,10085B-A7,,,,,,,
inprocess,UCD-10085B-B1-1,KOMP-Regeneron,1,UCD,2008-08-05,Lrrc14,10085B-B1,,,,,,,
inprocess,BL1082,KOMP-Regeneron,1,UCD,2009-04-15,Trem2,10093A-A4,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1483,KOMP-Regeneron,1,UCD,2010-05-06,Adamts15,10097A-E4,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1285,KOMP-Regeneron,1,UCD,2009-12-16,Gpr158,10108A-A5,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-10112A-C9-1,KOMP-Regeneron,1,UCD,2011-09-19,Elfn1,10112A-C9,,,,,,,
inprocess,UCD-10112C-B9-2,KOMP-Regeneron,1,UCD,2009-09-01,Elfn1,10112C-B9,,,,,,,
inprocess,UCD-10115A-A9-1,KOMP-Regeneron,1,UCD,2008-08-05,Lrfn4,10115A-A9,,,,,,,
inprocess,UCD-10116A-E10-1,KOMP-Regeneron,1,UCD,2008-02-18,Neto1,10116A-E10,,,,,,,
inprocess,BL1918,KOMP-Regeneron,1,UCD,2011-01-19,Adig,10117A-B5,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-10121A-B2-1,KOMP-Regeneron,1,UCD,2008-10-21,Islr2,10121A-B2,,,,,,,
inprocess,BL1780,KOMP-Regeneron,1,UCD,2010-10-22,Podxl2,10133B-D5,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-10148B-H10-1,KOMP-Regeneron,1,UCD,2008-03-11,Il17re,10148B-H10,,,,,,,
inprocess,UCD-10154B-E12-1,KOMP-Regeneron,1,UCD,2008-03-11,Rnf152,10154B-E12,,,,,,,
inprocess,UCD-10156C-B10-1,KOMP-Regeneron,1,UCD,2008-10-21,Tmem81,10156C-B10,,,,,,,
inprocess,UCD-10164C-B12-1,KOMP-Regeneron,1,UCD,2011-09-19,Thnsl1,10164C-B12,,,,,,,
inprocess,UCD-10166B-A3-1,KOMP-Regeneron,1,UCD,2008-10-07,Gm757,10166B-A3,,,,,,,
inprocess,UCD-10167A-D5-1,KOMP-Regeneron,1,UCD,2008-09-10,Lrrc26,10167A-D5,,,,,,,
inprocess,UCD-10167A-G11-1,KOMP-Regeneron,1,UCD,2008-08-05,Lrrc26,10167A-G11,,,,,,,
inprocess,UCD-10168A-A8-1,KOMP-Regeneron,1,UCD,2008-05-13,Dpp7,10168A-A8,,,,,,,
inprocess,UCD-10168A-F4-1,KOMP-Regeneron,1,UCD,2008-05-13,Dpp7,10168A-F4,,,,,,,
inprocess,UCD-10171A-B9-1,KOMP-Regeneron,1,UCD,2008-02-18,Lcn9,10171A-B9,,,,,,,
inprocess,UCD-10172A-D6-1,KOMP-Regeneron,1,UCD,2008-08-05,Chst1,10172A-D6,,,,,,,
inprocess,BL1322,KOMP-Regeneron,1,UCD,2010-01-28,1700029I15Rik,10173B-A2,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-10173D-E2-1,KOMP-Regeneron,1,UCD,2008-02-18,1700029I15Rik,10173D-E2,,,,,,,
inprocess,UCD-10173D-F6-1,KOMP-Regeneron,1,UCD,2008-02-18,1700029I15Rik,10173D-F6,,,,,,,
inprocess,BL909,KOMP-Regeneron,1,UCD,2008-09-24,Trip13,10174A-F5,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-10176A-G12-1,KOMP-Regeneron,1,UCD,2008-02-18,Tapt1,10176A-G12,,,,,,,
inprocess,UCD-10195A-D11-1,KOMP-Regeneron,1,UCD,2008-08-05,Slc2a6,10195A-D11,,,,,,,
inprocess,UCD-10195A-E12-1,KOMP-Regeneron,1,UCD,2008-08-05,Slc2a6,10195A-E12,,,,,,,
inprocess,UCD-10221D-H9-1,KOMP-Regeneron,1,UCD,2008-10-07,Inca1,10221D-H9,,,,,,,
inprocess,UCD-10226A-A7-1,KOMP-Regeneron,1,UCD,2009-05-11,Cbln3,10226A-A7,,,,,,,
inprocess,UCD-10229E-B5-1,KOMP-Regeneron,1,UCD,2008-10-28,Nags,10229E-B5,,,,,,,
inprocess,UCD-10230B-D2-1,KOMP-Regeneron,1,UCD,2008-05-13,Abhd16b,10230B-D2,,,,,,,
inprocess,UCD-10230C-C10-1,KOMP-Regeneron,1,UCD,2008-10-07,Abhd16b,10230C-C10,,,,,,,
inprocess,BL836,KOMP-Regeneron,1,UCD,2008-07-03,Ifit2,10236A-A5,,,,,,,
inprocess,BL1368,KOMP-Regeneron,1,UCD,2010-02-26,1700034O15Rik,10238B-G10,,1,,1,,,qc_neo_count_qpcr
inprocess,BL2300,KOMP-Regeneron,1,UCD,2011-06-16,Rsad1,10291A-H7,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-10337A-D1-1,KOMP-Regeneron,1,UCD,2008-05-13,Slc7a13,10337A-D1,,,,,,,
inprocess,UCD-10337A-H4-1,KOMP-Regeneron,1,UCD,2008-05-13,Slc7a13,10337A-H4,,,,,,,
inprocess,BL865,KOMP-Regeneron,1,UCD,2008-08-12,Reg2,10369E-H2,,,,,,,
inprocess,BL1503,KOMP-Regeneron,1,UCD,2010-05-20,A930005I04Rik,10395A-F1,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1937,KOMP-Regeneron,1,UCD,2011-01-27,Kif12,10408A-B9,,1,,1,,,qc_neo_count_qpcr
inprocess,BL794,KOMP-Regeneron,1,UCD,2008-05-07,Apof,10417A-D6,,,,,,,
inprocess,UCD-10442A-F5-1,KOMP-Regeneron,1,UCD,2010-05-11,Tmem215,10442A-F5,,,,,,,
inprocess,UCD-10442A-G8-1,KOMP-Regeneron,1,UCD,2010-05-11,Tmem215,10442A-G8,,,,,,,
inprocess,BL1273,KOMP-Regeneron,1,UCD,2009-12-02,Wnt8a,10481B-F10,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1296,KOMP-Regeneron,1,UCD,2010-01-12,Krt16,10501B-H1,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1559,KOMP-Regeneron,1,UCD,2010-06-22,Abpg,10506A-A11,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1885,KOMP-Regeneron,1,UCD,2010-12-23,Rtp1,10544E-D12,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1258,KOMP-Regeneron,1,UCD,2009-11-12,Clec14a,10554A-F10,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-10560A-G9-1,KOMP-Regeneron,1,UCD,2008-10-21,Zfp663,10560A-G9,,,,,,,
inprocess,BL1464,KOMP-Regeneron,1,UCD,2010-04-27,P2ry13,10561A-D8,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1373,KOMP-Regeneron,1,UCD,2010-03-02,Pex26,10575B-C6,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-10590A-B8-1,KOMP-Regeneron,1,UCD,2008-09-10,Bcs1l,10590A-B8,,,,,,,
inprocess,UCD-10598A-A1-1,KOMP-Regeneron,1,UCD,2011-04-18,Fstl3,10598A-A1,,,,,,,
inprocess,BL1264,KOMP-Regeneron,1,UCD,2009-11-19,Gnb3,10605A-A7,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1263,KOMP-Regeneron,1,UCD,2009-11-19,Gnb3,10605A-G11,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-10647A-C5-1,KOMP-Regeneron,1,UCD,2008-10-07,Gpr75,10647A-C5,,,,,,,
inprocess,UCD-10650B-C5-1,KOMP-Regeneron,1,UCD,2009-10-05,Creb3,10650B-C5,,,,,,,
inprocess,BL1376,KOMP-Regeneron,1,UCD,2010-03-04,Gpr50,10656C-E1,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1409,KOMP-Regeneron,1,UCD,2010-03-22,Trim38,10670A-A1,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1410,KOMP-Regeneron,1,UCD,2010-03-23,Trim38,10670B-E6,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1348,KOMP-Regeneron,1,UCD,2010-02-11,Taar5,10675A-A8,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-10681C-H2-1,KOMP-Regeneron,1,UCD,2008-09-10,Hes2,10681C-H2,,,,,,,
inprocess,UCD-10698B-F2-1,KOMP-Regeneron,1,UCD,2008-10-28,Oxgr1,10698B-F2,,,,,,,
inprocess,UCD-10698C-D12-1,KOMP-Regeneron,1,UCD,2008-10-28,Oxgr1,10698C-D12,,,,,,,
inprocess,UCD-10720B-E11-1,KOMP-Regeneron,1,UCD,2008-10-28,Olfr272,10720B-E11,,,,,,,
inprocess,UCD-10734A-B12-1,KOMP-Regeneron,1,UCD,2008-09-10,Olfr71,10734A-B12,,,,,,,
inprocess,BL1460,KOMP-Regeneron,1,UCD,2010-04-23,Caskin2,10745C-A10,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1484,KOMP-Regeneron,1,UCD,2010-05-07,Taar6,10749A-D5,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1297,KOMP-Regeneron,1,UCD,2010-01-12,Tslp,10759A-E4,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1811,KOMP-Regeneron,1,UCD,2010-11-12,Wfdc1,10762A-H2,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-10770E-G12-1,KOMP-Regeneron,1,UCD,2008-08-19,Orm2,10770E-G12,,,,,,,
inprocess,BL1472,KOMP-Regeneron,1,UCD,2010-04-30,Tmem90a,10772A-D3,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-10777A-D10-1,KOMP-Regeneron,1,UCD,2008-09-10,Ap3d1,10777A-D10,,,,,,,
inprocess,UCD-10779A-C1-1,KOMP-Regeneron,1,UCD,2008-09-10,Gm13030,10779A-C1,,,,,,,
inprocess,UCD-10800A-B7-1,KOMP-Regeneron,1,UCD,2011-09-19,Notch4,10800A-B7,,,,,,,
inprocess,UCD-10802A-B4-1,KOMP-Regeneron,1,UCD,2009-11-17,Wnt16,10802A-B4,,,,,,,
inprocess,UCD-10846B-A9-1,KOMP-Regeneron,1,UCD,2011-06-29,Commd2,10846B-A9,,,,,,,
inprocess,UCD-10846C-H8-1,KOMP-Regeneron,1,UCD,2011-06-29,Commd2,10846C-H8,,,,,,,
inprocess,BL2067,KOMP-Regeneron,1,UCD,2011-03-24,Nhedc2,10854A-B6,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1030,KOMP-Regeneron,1,UCD,2009-02-26,Pmp2,10878A-E1,,,,,,,
inprocess,BL1378,KOMP-Regeneron,1,UCD,2010-03-04,Kcnk18,10886B-F11,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-10916A-F3-1,KOMP-Regeneron,1,UCD,2008-09-10,Glycam1,10916A-F3,,,,,,,
inprocess,UCD-10949A-F1-1,KOMP-Regeneron,1,UCD,2011-09-19,Ifi27l2a,10949A-F1,,,,,,,
inprocess,BL2081,KOMP-Regeneron,1,UCD,2011-04-01,Prr7,10972A-A8,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-10985B-B4-1,KOMP-Regeneron,1,UCD,2008-10-28,Lmod2,10985B-B4,,,,,,,
inprocess,UCD-10985B-C11-1,KOMP-Regeneron,1,UCD,2008-10-28,Lmod2,10985B-C11,,,,,,,
inprocess,BL1481,KOMP-Regeneron,1,UCD,2010-05-06,Sprn,11009A-C4,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-11015D-E7-1,KOMP-Regeneron,1,UCD,2008-10-28,Cldn18,11015D-E7,,,,,,,
inprocess,UCD-11043A-A8-1,KOMP-Regeneron,1,UCD,2009-02-10,Kcng4,11043A-A8,,,,,,,
inprocess,BL1271,KOMP-Regeneron,1,UCD,2009-12-01,Kcng4,11043A-F10,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1750,KOMP-Regeneron,1,UCD,2010-10-07,1700012A03Rik,11076C-E3,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1478,KOMP-Regeneron,1,UCD,2010-05-04,Vsnl1,11139B-D2,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1414,KOMP-Regeneron,1,UCD,2010-03-25,Ppapdc2,11148A-B10,,1,,1,,,qc_neo_count_qpcr
inprocess,BL985,KOMP-Regeneron,1,UCD,2008-12-10,Pex5l,11153A-D8,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1356,KOMP-Regeneron,1,UCD,2010-02-18,Tmem92,11179A-B12,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-11263A-C7-1,KOMP-Regeneron,1,UCD,2010-04-14,Prss23,11263A-C7,,,,,,,
inprocess,UCD-11263A-D10-1,KOMP-Regeneron,1,UCD,2010-04-14,Prss23,11263A-D10,,,,,,,
inprocess,BL2065,KOMP-Regeneron,1,UCD,2011-03-24,Pramel7,11283A-E2,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1818,KOMP-Regeneron,1,UCD,2010-11-17,Ubqlnl,11289A-D6,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1824,KOMP-Regeneron,1,UCD,2010-11-19,Nsg1,11298A-D11,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1266,KOMP-Regeneron,1,UCD,2009-11-24,Insm2,11401A-F1,,1,,1,,,qc_neo_count_qpcr
inprocess,BL2161,KOMP-Regeneron,1,UCD,2011-04-28,Prkcdbp,11448A-D8,,,,,,,
inprocess,UCD-11491A-D10-1,KOMP-Regeneron,1,UCD,2009-09-28,Hbegf,11491A-D10,,,,,,,
inprocess,UCD-11491A-E6-1,KOMP-Regeneron,1,UCD,2009-09-28,Hbegf,11491A-E6,,,,,,,
inprocess,BL1289,KOMP-Regeneron,1,UCD,2009-12-18,Klf14,11504A-B1,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-11519A-D8-1,KOMP-Regeneron,1,UCD,2008-10-07,Dph2,11519A-D8,,,,,,,
inprocess,UCD-11524B-C6-1,KOMP-Regeneron,1,UCD,2009-02-10,Mrpl40,11524B-C6,,,,,,,
inprocess,BL1615,KOMP-Regeneron,1,UCD,2010-07-23,Tmem35,11586B-B9,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1895,KOMP-Regeneron,1,UCD,2011-01-07,Atf5,11612A-E2,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1504,KOMP-Regeneron,1,UCD,2010-05-18,Pcsk1n,11614A-A7,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-11618A-F12-1,KOMP-Regeneron,1,UCD,2009-02-10,Grhpr,11618A-F12,,,,,,,
inprocess,BL1332,KOMP-Regeneron,1,UCD,2010-02-03,0610037P05Rik,11660A-E10,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-11667A-D3-1,KOMP-Regeneron,1,UCD,2010-05-11,Usp27x,11667A-D3,,,,,,,
inprocess,BL1470,KOMP-Regeneron,1,UCD,2010-04-29,Gnpda2,11668A-G2,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1000,KOMP-Regeneron,1,UCD,2009-01-14,Myo1a,11762A-B1,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-11768A-B11-1,KOMP-Regeneron,1,UCD,2009-02-10,Rhbdd2,11768A-B11,,,,,,,
inprocess,BL1380,KOMP-Regeneron,1,UCD,2010-03-05,1700011F03Rik,11827A-F3,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1014,KOMP-Regeneron,1,UCD,2009-02-04,Rgs9bp,11847A-B5,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1420,KOMP-Regeneron,1,UCD,2010-03-30,1810027O10Rik,11870A-E4,,1,,1,,,qc_neo_count_qpcr
inprocess,BL952,KOMP-Regeneron,1,UCD,2008-11-18,Tbxa2r,11873A-D11,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-11884A-E2-1,KOMP-Regeneron,1,UCD,2009-02-10,Golt1b,11884A-E2,,,,,,,
inprocess,BL1389,KOMP-Regeneron,1,UCD,2010-03-11,Med28,11940A-A8,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1502,KOMP-Regeneron,1,UCD,2010-05-20,Tnni2,11982A-A7,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-11995A-B6-1,KOMP-Regeneron,1,UCD,2009-02-10,Aip,11995A-B6,,,,,,,
inprocess,UCD-12006A-A4-1,KOMP-Regeneron,1,UCD,2009-09-28,Pih1d1,12006A-A4,,,,,,,
inprocess,BL1437,KOMP-Regeneron,1,UCD,2010-04-09,Parp11,12032A-B7,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1726,KOMP-Regeneron,1,UCD,2010-09-24,Kcnab3,12034B-G12,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-12084A-E5-1,KOMP-Regeneron,1,UCD,2009-05-11,Gm1673,12084A-E5,,,,,,,
inprocess,BL1541,KOMP-Regeneron,1,UCD,2010-06-11,Ccdc116,12097A-H5,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1639,KOMP-Regeneron,1,UCD,2010-08-05,Fam176b,12101A-F2,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-12122E-A7-1,KOMP-Regeneron,1,UCD,2009-09-28,Gpr97,12122E-A7,,,,,,,
inprocess,UCD-12123A-D9-1,KOMP-Regeneron,1,UCD,2010-09-28,Ifitm2,12123A-D9,,,,,,,
inprocess,UCD-12124A-A6-1,KOMP-Regeneron,1,UCD,2011-04-11,Trem1,12124A-A6,,,,,,,
inprocess,BL1849,KOMP-Regeneron,1,UCD,2010-12-03,Enho,12133E-D2,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-12138A-G2-1,KOMP-Regeneron,1,UCD,2009-09-28,Serpina12,12138A-G2,,,,,,,
inprocess,UCD-12141A-G5-1,KOMP-Regeneron,1,UCD,2011-04-18,Slc2a9,12141A-G5,,,,,,,
inprocess,UCD-12154A-F2-1,KOMP-Regeneron,1,UCD,2011-04-18,Prokr1,12154A-F2,,,,,,,
inprocess,UCD-12158A-E1-1,KOMP-Regeneron,1,UCD,2009-09-28,S100a9,12158A-E1,,,,,,,
inprocess,BL1577,KOMP-Regeneron,1,UCD,2010-07-02,S100a9,12158B-F9,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-12164A-E5-1,KOMP-Regeneron,1,UCD,2011-04-18,Wisp1,12164A-E5,,,,,,,
inprocess,UCD-12170A-C3-1,KOMP-Regeneron,1,UCD,2011-06-29,Bmp8b,12170A-C3,,,,,,,
inprocess,UCD-12171A-H12-1,KOMP-Regeneron,1,UCD,2010-09-28,Bmp8a,12171A-H12,,,,,,,
inprocess,UCD-12174A-F12-1,KOMP-Regeneron,1,UCD,2010-09-28,Mmp9,12174A-F12,,,,,,,
inprocess,BL1820,KOMP-Regeneron,1,UCD,2010-11-17,Hmg20b,12255A-F9,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-12264A-B10-1,KOMP-Regeneron,1,UCD,2010-10-12,Creld1,12264A-B10,,,,,,,
inprocess,UCD-12314A-C4-1,KOMP-Regeneron,1,UCD,2010-04-14,Lrdd,12314A-C4,,,,,,,
inprocess,UCD-12349A-B3-1,KOMP-Regeneron,1,UCD,2009-05-11,Serpinf2,12349A-B3,,,,,,,
inprocess,UCD-12349A-E10-1,KOMP-Regeneron,1,UCD,2009-05-11,Serpinf2,12349A-E10,,,,,,,
inprocess,UCD-12400B-E10-1,KOMP-Regeneron,1,UCD,2010-10-12,Lphn3,12400B-E10,,,,,,,
inprocess,UCD-12403A-D8-1,KOMP-Regeneron,1,UCD,2011-04-11,Adamts5,12403A-D8,,,,,,,
inprocess,BL1314,KOMP-Regeneron,1,UCD,2010-01-22,Wisp2,12404A-A3,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-12406A-H3-1,KOMP-Regeneron,1,UCD,2011-09-19,Bmp2,12406A-H3,,,,,,,
inprocess,UCD-12451A-A2-1,KOMP-Regeneron,1,UCD,2009-05-11,Cel,12451A-A2,,,,,,,
inprocess,UCD-12451A-D2-1,KOMP-Regeneron,1,UCD,2009-05-11,Cel,12451A-D2,,,,,,,
inprocess,UCD-12457B-B11-1,KOMP-Regeneron,1,UCD,2009-10-05,P2ry12,12457B-B11,,,,,,,
inprocess,UCD-12457B-H6-1,KOMP-Regeneron,1,UCD,2009-10-05,P2ry12,12457B-H6,,,,,,,
inprocess,BL1310,KOMP-Regeneron,1,UCD,2010-01-21,2010305A19Rik,12463A-H2,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-12476A-D5-1,KOMP-Regeneron,1,UCD,2011-04-18,Adam8,12476A-D5,,,,,,,
inprocess,UCD-12492A-E3-1,KOMP-Regeneron,1,UCD,2011-04-11,Gcgr,12492A-E3,,,,,,,
inprocess,UCD-12498A-A11-1,KOMP-Regeneron,1,UCD,2011-12-13,Prok2,12498A-A11,,,,,,,
inprocess,UCD-12534A-D8-1,KOMP-Regeneron,1,UCD,2010-04-14,C1qtnf5,12534A-D8,,,,,,,
inprocess,UCD-12534A-H11-2,KOMP-Regeneron,1,UCD,2010-04-14,C1qtnf5,12534A-H11,,,,,,,
inprocess,BL1861,KOMP-Regeneron,1,UCD,2010-12-10,Camta1,12535B-A6,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-12561D-H2-1,KOMP-Regeneron,1,UCD,2010-09-28,Bdnf,12561D-H2,,,,,,,
inprocess,UCD-12561E-F1-1,KOMP-Regeneron,1,UCD,2010-09-28,Bdnf,12561E-F1,,,,,,,
inprocess,BL1401,KOMP-Regeneron,1,UCD,2010-03-18,C1qtnf9,12588A-C12,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1440,KOMP-Regeneron,1,UCD,2010-04-13,C1qtnf9,12588A-E11,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1819,KOMP-Regeneron,1,UCD,2010-11-17,Tle2,12600A-F10,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1436,KOMP-Regeneron,1,UCD,2010-04-08,Adam26a,12601B-F11,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1321,KOMP-Regeneron,1,UCD,2010-01-25,Leprel2,12611A-F5,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1575,KOMP-Regeneron,1,UCD,2010-07-01,Susd3,12627A-G8,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1320,KOMP-Regeneron,1,UCD,2010-01-27,1700108M19Rik,12655A-D4,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1660,KOMP-Regeneron,1,UCD,2010-08-19,Jakmip1,12661A-D9,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1532,KOMP-Regeneron,1,UCD,2010-06-08,Il33,12663E-H2,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1336,KOMP-Regeneron,1,UCD,2010-02-04,3110062M04Rik,12667B-H5,,1,,1,,,qc_neo_count_qpcr
inprocess,UCD-12720A-A11-1,KOMP-Regeneron,1,UCD,2009-10-05,Msrb3,12720A-A11,,,,,,,
inprocess,UCD-12720A-B7-1,KOMP-Regeneron,1,UCD,2009-10-05,Msrb3,12720A-B7,,,,,,,
inprocess,BL1856,KOMP-Regeneron,1,UCD,2010-12-08,4833442J19Rik,12721A-E2,,1,,1,,,qc_neo_count_qpcr
inprocess,BL1435,KOMP-Regeneron,1,UCD,2010-04-08,Xkr6,12730A-H8,,1,,1,,,qc_neo_count_qpcr
