marker_symbol,mi_attempt_id,id,gene_id,assembly,chromosome,strand,homology_arm_start,homology_arm_end,loxp_start,loxp_end,cassette_start,cassette_end,cassette,backbone,subtype_description,floxed_start_exon,floxed_end_exon,project_design_id,reporter,mutation_method_id,mutation_type_id,mutation_subtype_id,cassette_type,created_at,updated_at,intron,type,has_issue,issue_description,sequence,taqman_critical_del_assay_id,taqman_upstream_del_assay_id,taqman_downstream_del_assay_id,wildtype_oligos_sequence,allele_genbank_file_id,vector_genbank_file_id
1700008O03Rik,5813,7496,9197,GRCm38,7,-,44369373,44357198,44360897,44360848,44363551,44363494,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000277394,ENSMUSE00000202398,231415,,1,1,2,Promotor Driven,2010-03-10 17:16:05 UTC,2014-07-17 12:54:21 UTC,,TargRep::TargetedAllele,FALSE,,,,,Mm00734679_cn,,8477,88179
1700010I14Rik,1310,6144,867,GRCm38,17,+,8986844,8997852,8992971,8993036,8991608,8991658,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000271424,ENSMUSE00000271424,46412,,1,1,2,Promotor Driven,2010-03-10 17:11:01 UTC,2014-07-17 13:13:30 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00733836_cn,,,7987,87847
1700010I14Rik,2348,6144,867,GRCm38,17,+,8986844,8997852,8992971,8993036,8991608,8991658,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000271424,ENSMUSE00000271424,46412,,1,1,2,Promotor Driven,2010-03-10 17:11:01 UTC,2014-07-17 13:13:30 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00733836_cn,,,7987,87847
1700010I14Rik,7447,6144,867,GRCm38,17,+,8986844,8997852,8992971,8993036,8991608,8991658,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000271424,ENSMUSE00000271424,46412,,1,1,2,Promotor Driven,2010-03-10 17:11:01 UTC,2014-07-17 13:13:30 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00733836_cn,,,7987,87847
1700010I14Rik,4589,6144,867,GRCm38,17,+,8986844,8997852,8992971,8993036,8991608,8991658,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000271424,ENSMUSE00000271424,46412,,1,1,2,Promotor Driven,2010-03-10 17:11:01 UTC,2014-07-17 13:13:30 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00733836_cn,,,7987,87847
1700012A03Rik,3541,21657,2138,GRCm38,6,+,32036618,32073780,,,32051618,32058780,ZEN-UB1.GB,,,ENSMUSE00000370082,ENSMUSE00000758405,,,1,2,2,Promotor Driven,2010-05-18 10:33:29 UTC,2011-03-24 14:09:48 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,36338,
1700012B09Rik,6505,7490,9186,GRCm38,9,-,14773315,14757825,,,14766978,14761552,L1L2_Bact_P,L3L4_pZero_DTA_kan,,ENSMUSE00000585073,ENSMUSE00000585072,213299,,1,2,,Promotor Driven,2010-03-10 17:16:01 UTC,2014-07-17 12:52:27 UTC,,TargRep::TargetedAllele,FALSE,,,Mm00734430_cn,,,,8474,88175
1700016C15Rik,13795,7528,9240,GRCm38,1,+,177737870,177748143,177743589,177743704,177742822,177742895,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000159989,ENSMUSE00000159989,49769,,1,1,2,Promotor Driven,2010-03-10 17:16:13 UTC,2014-07-17 13:16:13 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736111_cn,,,8490,88192
1700016K19Rik,9443,34299,11266,GRCm38,11,+,75985065,76018485,,,76000065,76003485,ZEN-Ub1,,,ENSMUSE00000440160,ENSMUSE00000440151,,,1,2,2,Promotor Driven,2011-08-03 18:31:47 UTC,2011-08-03 18:31:47 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,37444,
1700018B08Rik,6725,10207,12194,GRCm38,8,-,121541253,121529293,121533534,121533474,121536052,121535946,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000213258,ENSMUSE00000213263,186827,,1,1,2,Promotor Driven,2010-03-10 17:26:28 UTC,2014-07-17 12:48:02 UTC,,TargRep::TargetedAllele,FALSE,,,,,Mm00734533_cn,,17165,114230
1700019D03Rik,10874,27824,8026,GRCm38,1,-,52929071,52915229,,,52926154,52922041,L1L2_GOHANU,L3L4_pZero_DTA_kan,,ENSMUSE00000699517,ENSMUSE00000699517,239053,,1,2,2,Promotor Driven,2010-10-04 09:30:38 UTC,2012-10-09 09:30:10 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,26387,102247
1700020I14Rik,14982,44780,7737,GRCm38,2,+,119587062,119599685,119595157,119595233,119593839,119593858,L1L2_lncRNA_xpA3_BactNeo,L3L4_pD223_DTA_T_spec,,,,1001643,,1,1,,Promotor Driven,2016-01-13 15:27:58 UTC,2016-01-13 15:27:58 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,45835,115506
1700024P04Rik,8982,36765,9217,GRCm38,13,-,98990634,98979661,98984045,98984044,98984455,98984454,Ifitm2_intron_L1L2_GT2_LF2A_LacZ_BetactP_neo,L3L4_pD223_DTA_spec,,ENSMUSE00000333879,ENSMUSE00000333879,391300,,1,1,3,Promotor Driven,2012-02-22 14:56:38 UTC,2014-07-17 13:02:22 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00737098_cn,,,35699,108797
1700025G04Rik,611,7522,893,GRCm38,1,-,151985699,151975508,151980218,151980187,151980973,151980896,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000258187,ENSMUSE00000258187,47463,,1,1,2,Promotor Driven,2010-03-10 17:16:11 UTC,2011-03-24 13:57:43 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,16346,95304
1700028J19Rik,4268,19970,2641,GRCm38,7,-,44237025,44226157,44230264,44230230,44231827,44231786,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000278353,ENSMUSE00000397623,238526,,1,1,2,Promotor Driven,2010-03-30 15:33:29 UTC,2014-07-17 12:55:48 UTC,,TargRep::TargetedAllele,FALSE,,,,,Mm00735102_cn,,19361,98019
1700028K03Rik,12857,44436,12206,GRCm38,5,+,107540952,107551422,107546450,107546569,107545218,107545281,pL1L2_GT1_LF2A_nEGFPO_T2A_CreERT_puro,L3L4_pD223_DTA_T_spec,,ENSMUSE00001206850,ENSMUSE00001240128,45104,,1,4,,Promotorless,2014-07-30 04:25:20 UTC,2014-08-30 02:51:49 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,45473,115066
1700028K03Rik,13343,44436,12206,GRCm38,5,+,107540952,107551422,107546450,107546569,107545218,107545281,pL1L2_GT1_LF2A_nEGFPO_T2A_CreERT_puro,L3L4_pD223_DTA_T_spec,,ENSMUSE00001206850,ENSMUSE00001240128,45104,,1,4,,Promotorless,2014-07-30 04:25:20 UTC,2014-08-30 02:51:49 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,45473,115066
1700029F12Rik,12611,37525,7664,GRCm38,13,-,97036057,97026350,97030030,97029957,97030693,97030642,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000611559,ENSMUSE00000611559,379899,,1,1,2,Promotor Driven,2012-05-01 01:49:03 UTC,2014-07-17 13:01:30 UTC,,TargRep::TargetedAllele,FALSE,,,,,Mm00737304_cn,,38952,109312
1700029H14Rik,8833,5871,7681,GRCm38,8,-,13565224,13554541,13558406,13558404,13559411,13559336,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000209653,ENSMUSE00000209654,112927,,1,1,2,Promotor Driven,2010-03-10 17:10:01 UTC,2014-07-17 12:43:10 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736214_cn,,,7844,87718
1700029I15Rik,5327,21177,2114,GRCm38,2,+,92367932,92398586,,,92382932,92383586,ZEN-UB1.GB,,,ENSMUSE00000388195,ENSMUSE00000381063,,,1,2,2,Promotor Driven,2010-05-18 09:03:50 UTC,2011-07-15 11:18:35 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,35866,
1700029I15Rik,5328,21177,2114,GRCm38,2,+,92367932,92398586,,,92382932,92383586,ZEN-UB1.GB,,,ENSMUSE00000388195,ENSMUSE00000381063,,,1,2,2,Promotor Driven,2010-05-18 09:03:50 UTC,2011-07-15 11:18:35 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,35866,
1700029I15Rik,3514,21177,2114,GRCm38,2,+,92367932,92398586,,,92382932,92383586,ZEN-UB1.GB,,,ENSMUSE00000388195,ENSMUSE00000381063,,,1,2,2,Promotor Driven,2010-05-18 09:03:50 UTC,2011-07-15 11:18:35 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,35866,
1700029J07Rik,1378,7558,260,GRCm38,8,-,45973078,45963218,45967686,45967567,45968620,45968529,L1L2_Bact_P,L4L3_pD223_DTA_spec,,ENSMUSE00000608010,ENSMUSE00000608009,45509,,1,1,2,Promotor Driven,2010-03-10 17:16:19 UTC,2011-03-24 13:57:44 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,8515,114068
1700029J07Rik,2230,7558,260,GRCm38,8,-,45973078,45963218,45967686,45967567,45968620,45968529,L1L2_Bact_P,L4L3_pD223_DTA_spec,,ENSMUSE00000608010,ENSMUSE00000608009,45509,,1,1,2,Promotor Driven,2010-03-10 17:16:19 UTC,2011-03-24 13:57:44 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,8515,114068
1700030K09Rik,5649,8779,10495,GRCm38,8,+,72443093,72454046,72449897,72449969,72448974,72449089,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000456279,ENSMUSE00000456279,77615,,1,1,2,Promotor Driven,2010-03-10 17:21:04 UTC,2014-07-17 13:17:53 UTC,,TargRep::TargetedAllele,FALSE,,,,,Mm00734773_cn,,8853,88526
1700030K09Rik,13706,8779,10495,GRCm38,8,+,72443093,72454046,72449897,72449969,72448974,72449089,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000456279,ENSMUSE00000456279,77615,,1,1,2,Promotor Driven,2010-03-10 17:21:04 UTC,2014-07-17 13:17:53 UTC,,TargRep::TargetedAllele,FALSE,,,,,Mm00734773_cn,,8853,88526
1700034E13Rik,1311,10724,662,GRCm38,18,+,52655233,52666020,52660775,52660827,52659885,52659941,L1L2_Bact_P,L4L3_pD223_DTA_spec,,ENSMUSE00000143102,ENSMUSE00000143102,46154,,1,1,2,Promotor Driven,2010-03-10 17:28:26 UTC,2011-03-24 14:00:14 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,6142,86295
1700034J05Rik,8754,20037,10872,GRCm38,6,-,146959598,146948942,146952777,146952761,146954043,146953968,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000277755,ENSMUSE00000277755,113500,,1,1,2,Promotor Driven,2010-03-30 15:35:32 UTC,2014-07-17 12:43:40 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736501_cn,Mm00737057_cn,,13302,92619
1700037C18Rik,12287,9119,10829,GRCm38,16,-,3913398,3903158,3906706,3906658,3907487,3907452,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000622366,ENSMUSE00000622366,233384,,1,1,2,Promotor Driven,2010-03-10 17:22:18 UTC,2011-03-24 13:58:58 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,9007,114162
1700037H04Rik,13607,39036,8165,GRCm38,2,-,131168609,131131789,,,131153609,131146789,ZEN-Ub1,,,ENSMUSE00000944466,ENSMUSE00000764191,,,1,2,2,Promotor Driven,2012-05-11 18:49:04 UTC,2012-05-11 18:49:04 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,40463,
1700066M21Rik,1768,9193,1129,GRCm38,1,+,57376757,57387741,57383814,57383865,57382253,57382324,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000508613,ENSMUSE00000508613,171364,,1,1,2,Promotor Driven,2010-03-10 17:22:34 UTC,2011-03-24 13:59:01 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,16713,95643
1700067K01Rik,6347,9183,10923,GRCm38,8,+,83996760,84007461,84003695,84003746,84002402,84002505,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000343781,ENSMUSE00000407906,47057,,1,1,2,Promotor Driven,2010-03-10 17:22:32 UTC,2014-07-17 13:13:52 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00734011_cn,,,9042,88709
1700086L19Rik,9757,20046,11296,GRCm38,12,+,74289516,74300254,74296180,74296293,74294896,74294922,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000613066,ENSMUSE00000613065,238545,,1,1,2,Promotor Driven,2010-03-30 15:36:07 UTC,2011-03-24 14:08:11 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,19392,98045
1700088E04Rik,11912,38482,10952,GRCm38,15,-,79155980,79120096,,,79140980,79135096,ZEN-Ub1,,,ENSMUSE00000879313,ENSMUSE00000894885,,,1,2,2,Promotor Driven,2012-05-11 18:33:20 UTC,2012-05-11 18:33:20 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,39909,
1700123O20Rik,5789,9220,10999,GRCm38,14,+,54683479,54693657,54690911,54691011,54689313,54689442,L1L2_Pgk_P,L3L4_pD223_DTA_spec,,ENSMUSE00000397207,ENSMUSE00000397207,89599,,1,1,2,Promotor Driven,2010-03-10 17:22:40 UTC,2015-10-12 12:39:56 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00734645_cn,,,16723,115320
1700123O20Rik,8287,9220,10999,GRCm38,14,+,54683479,54693657,54690911,54691011,54689313,54689442,L1L2_Pgk_P,L3L4_pD223_DTA_spec,,ENSMUSE00000397207,ENSMUSE00000397207,89599,,1,1,2,Promotor Driven,2010-03-10 17:22:40 UTC,2015-10-12 12:39:56 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00734645_cn,,,16723,115320
1700123O20Rik,8279,9220,10999,GRCm38,14,+,54683479,54693657,54690911,54691011,54689313,54689442,L1L2_Pgk_P,L3L4_pD223_DTA_spec,,ENSMUSE00000397207,ENSMUSE00000397207,89599,,1,1,2,Promotor Driven,2010-03-10 17:22:40 UTC,2015-10-12 12:39:56 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00734645_cn,,,16723,115320
1700125H20Rik,6521,9216,10998,GRCm38,11,+,85169657,85177782,85174330,85174361,85173666,85173771,L1L2_Bact_P,L4L3_pD223_DTA_spec,,ENSMUSE00000105732,ENSMUSE00000105732,48,,1,1,2,Promotor Driven,2010-03-10 17:22:39 UTC,2014-07-17 13:14:52 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00735069_cn,,,16719,95649
1810043G02Rik,2571,6814,789,GRCm38,10,+,77975334,77985417,77980746,77980791,77980079,77980119,L1L2_Bact_P,L4L3_pD223_DTA_spec,,ENSMUSE00000103074,ENSMUSE00000103074,40868,,1,1,2,Promotor Driven,2010-03-10 17:13:29 UTC,2014-07-17 13:03:53 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736449_cn,,,15067,94180
1810043G02Rik,12782,6814,789,GRCm38,10,+,77975334,77985417,77980746,77980791,77980079,77980119,L1L2_Bact_P,L4L3_pD223_DTA_spec,,ENSMUSE00000103074,ENSMUSE00000103074,40868,,1,1,2,Promotor Driven,2010-03-10 17:13:29 UTC,2014-07-17 13:03:53 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736449_cn,,,15067,94180
1810043G02Rik,11453,6814,789,GRCm38,10,+,77975334,77985417,77980746,77980791,77980079,77980119,L1L2_Bact_P,L4L3_pD223_DTA_spec,,ENSMUSE00000103074,ENSMUSE00000103074,40868,,1,1,2,Promotor Driven,2010-03-10 17:13:29 UTC,2014-07-17 13:03:53 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736449_cn,,,15067,94180
1810043G02Rik,14288,6814,789,GRCm38,10,+,77975334,77985417,77980746,77980791,77980079,77980119,L1L2_Bact_P,L4L3_pD223_DTA_spec,,ENSMUSE00000103074,ENSMUSE00000103074,40868,,1,1,2,Promotor Driven,2010-03-10 17:13:29 UTC,2014-07-17 13:03:53 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736449_cn,,,15067,94180
1810055G02Rik,11120,33518,10396,GRCm38,19,+,3709053,3721830,3718003,3718019,3716049,3716096,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000239096,ENSMUSE00000239096,376856,,1,1,2,Promotor Driven,2011-07-20 10:46:06 UTC,2011-07-20 10:46:06 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,33303,106508
1810055G02Rik,10140,33518,10396,GRCm38,19,+,3709053,3721830,3718003,3718019,3716049,3716096,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000239096,ENSMUSE00000239096,376856,,1,1,2,Promotor Driven,2011-07-20 10:46:06 UTC,2011-07-20 10:46:06 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,33303,106508
2010109A12Rik,8768,9940,11880,GRCm38,5,+,93207683,93217449,93213629,93213747,93212757,93212878,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000320855,ENSMUSE00000320855,184998,,1,1,2,Promotor Driven,2010-03-10 17:25:28 UTC,2011-03-24 13:59:35 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,17050,95947
2010111I01Rik,18373,20010,10400,GRCm38,13,+,63027312,63037177,63033547,63033564,63032304,63032364,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000323804,ENSMUSE00000323804,210522,,1,1,2,Promotor Driven,2010-03-30 15:34:48 UTC,2011-03-24 14:08:09 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,13287,92604
2010300C02Rik,7266,8701,10419,GRCm38,1,-,37643380,37632767,37637651,37637640,37638464,37638423,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000478321,ENSMUSE00000478321,49080,,1,1,2,Promotor Driven,2010-03-10 17:20:47 UTC,2014-07-17 13:15:35 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736305_cn,,,6372,86444
2210010C04Rik,5104,19912,8202,GRCm38,6,-,41038439,41028375,41032749,41032720,41033680,41033589,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000403191,ENSMUSE00000403191,45180,,1,1,2,Promotor Driven,2010-03-30 15:31:20 UTC,2014-07-17 13:11:36 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00735233_cn,,,13229,92546
